LINHA 1-AZUL;;;;;;;;;;;;;
Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Jabaquara;63;67;71;71;70;69;65;70;70;;;;68
Conceicao ;23;29;30;30;30;29;27;30;30;;;;29
Sao Judas ;13;15;16;16;15;15;15;16;16;;;;15
Saude-Ultrafarma;22;26;27;27;27;27;25;27;27;;;;26
Praca da Arvore ;13;15;16;16;16;16;14;16;16;;;;15
Santa Cruz;81;92;96;95;96;95;88;95;96;;;;93
Vila Mariana ;14;20;22;22;21;20;16;20;21;;;;20
Ana Rosa;64;76;80;80;80;78;72;79;81;;;;77
Paraiso;80;95;100;100;100;97;89;100;100;;;;96
Vergueiro ;21;26;27;27;27;26;24;27;27;;;;26
Sao Joaquim ;17;28;35;35;33;28;20;33;35;;;;29
Japao-Liberdade ;20;21;22;22;21;21;22;22;22;;;;21
Se2;153;169;175;174;172;171;160;171;175;;;;169
Sao Bento;49;52;51;50;51;53;53;51;52;;;;51
Luz;116;131;135;137;133;130;119;125;133;;;;129
Tiradentes ;11;15;16;17;16;16;13;16;17;;;;15
Armenia ;16;19;20;19;19;19;18;19;20;;;;19
Portuguesa-Tiete ;43;42;44;44;44;45;44;44;48;;;;44
Carandiru ;9;11;12;12;12;12;11;12;12;;;;11
Santana ;41;48;50;50;50;49;46;50;51;;;;48
Jardim Sao Paulo-Ayrton Senna;9;11;12;12;12;11;10;12;12;;;;11
Parada Inglesa ;11;13;14;13;13;13;12;13;13;;;;13
Tucuruvi ;47;54;55;56;56;56;53;57;58;;;;55
Total;937;1.075;1.126;1.124;1.113;1.096;1.016;1.105;1.131;;;;1.080


LINHA 2-VERDE;;;;;;;;;;;;;
Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Vila Prudente�;62;73;76;77;77;78;72;82;83;;;;76
Tamanduate�;62;73;76;77;76;76;72;77;77;;;;74
Sacom�;33;39;41;41;41;40;38;41;42;;;;40
Alto do Ipiranga ;14;18;19;19;19;18;16;19;19;;;;18
Santos-Imigrantes ;13;15;15;15;16;15;14;16;15;;;;15
Ch�cara Klabin ;70;82;85;85;85;83;78;85;86;;;;82
Ana Rosa�;51;59;62;62;61;61;56;61;62;;;;59
Para�so�;53;62;65;65;64;63;58;64;65;;;;62
Brigadeiro ;44;49;51;51;50;51;48;49;50;;;;49
Trianon-Masp ;38;47;50;49;49;44;43;48;50;;;;46
Consola��o;81;98;102;102;100;97;89;99;101;;;;97
Cl�nicas ;18;21;22;22;22;21;20;21;21;;;;21
Santu�rio N.S. de F�tima-Sumar� ;8;10;11;11;11;10;9;10;11;;;;10
Vila Madalena;17;21;22;22;22;21;20;22;22;;;;21
Total;566;665;695;696;693;680;632;693;704;;;;669


LINHA 3-VERMELHA;;;;;;;;;;;;;
Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Corinthians-Itaquera;64;70;73;72;73;73;70;75;76;;;;72
Artur Alvim;47;53;55;55;55;56;52;55;56;;;;54
Patriarca-Vila R�;18;21;22;22;22;22;21;22;22;;;;21
Guilhermina-Esperan�a ;18;20;21;21;21;21;20;22;22;;;;21
Vila Matilde ;22;26;27;27;27;27;25;27;27;;;;26
Penha-Lojas Besni;23;27;28;28;28;28;25;28;29;;;;27
Carr�o-Assa� Atacadista ;35;47;51;51;50;46;39;49;51;;;;47
Tatuap�;101;88;75;74;74;75;66;75;76;;;;78
Bel�m ;32;36;37;37;37;37;35;37;38;;;;36
Bresser-Mo�ca ;25;29;32;32;31;30;27;31;32;;;;30
Br�s;48;65;76;75;74;76;74;75;75;;;;71
Pedro II ;14;15;15;15;15;15;15;15;15;;;;15
S�;172;198;207;207;205;202;188;204;208;;;;199
Anhangaba�;45;48;51;51;51;51;49;51;52;;;;50
Rep�blica;107;118;120;122;121;120;115;120;121;;;;118
Santa Cec�lia ;19;22;23;23;23;23;21;23;23;;;;22
Marechal Deodoro ;22;25;26;26;26;26;24;26;26;;;;25
Palmeiras-Barra Funda;126;141;144;143;136;132;123;129;135;;;;134
Total;939;1.049;1.086;1.080;1.071;1.060;988;1.065;1.086;;;;1.047

LINHA 15-PRATA;;;;;;;;;;;;;
Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Vila Prudente�;46;56;62;61;60;60;55;62;63;;;;58
Orat�rio;5;6;7;7;6;7;7;7;7;;;;7
S�o Lucas;4;5;5;5;5;5;5;5;5;;;;5
Camilo Haddad;3;3;4;4;4;4;3;4;4;;;;4
Vila Tolst�i;4;5;5;5;5;5;5;5;6;;;;5
Vila Uni�o;5;6;6;6;6;6;5;6;6;;;;6
Jardim Planalto;4;4;5;5;5;5;4;5;5;;;;5
Sapopemba;7;9;9;9;9;9;8;9;9;;;;9
Fazenda da Juta;3;4;5;5;5;4;4;5;5;;;;4
S�o Mateus;14;16;16;17;17;17;16;17;17;;;;16
Jardim Colonial;7;9;9;10;10;10;10;11;11;;;;10
Total;103;123;132;133;132;131;122;136;137;;;;128
