
Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Vila Prudente;46;56;62;61;60;60;55;62;63;;;;58
Oratorio;5;6;7;7;6;7;7;7;7;;;;7
Sao Lucas;4;5;5;5;5;5;5;5;5;;;;5
Camilo Haddad;3;3;4;4;4;4;3;4;4;;;;4
Vila Tolstoi;4;5;5;5;5;5;5;5;6;;;;5
Vila Uniao;5;6;6;6;6;6;5;6;6;;;;6
Jardim Planalto;4;4;5;5;5;5;4;5;5;;;;5
Sapopemba;7;9;9;9;9;9;8;9;9;;;;9
Fazenda da Juta;3;4;5;5;5;4;4;5;5;;;;4
Sao Mateus;14;16;16;17;17;17;16;17;17;;;;16
Jardim Colonial;7;9;9;10;10;10;10;11;11;;;;10
Total;103;123;132;133;132;131;122;136;137;;;;128
