Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Corinthians-Itaquera;64;70;73;72;73;73;70;75;76;;;;72
Artur Alvim;47;53;55;55;55;56;52;55;56;;;;54
Patriarca;18;21;22;22;22;22;21;22;22;;;;21
Guilhermina-Esperanca ;18;20;21;21;21;21;20;22;22;;;;21
Vila Matilde ;22;26;27;27;27;27;25;27;27;;;;26
Penha-Lojas Besni;23;27;28;28;28;28;25;28;29;;;;27
Carrao-Assai Atacadista ;35;47;51;51;50;46;39;49;51;;;;47
Tatuape;101;88;75;74;74;75;66;75;76;;;;78
Belem ;32;36;37;37;37;37;35;37;38;;;;36
Bresser-Mooca ;25;29;32;32;31;30;27;31;32;;;;30
Bras;48;65;76;75;74;76;74;75;75;;;;71
Pedro II ;14;15;15;15;15;15;15;15;15;;;;15
Se;172;198;207;207;205;202;188;204;208;;;;199
Anhangabau;45;48;51;51;51;51;49;51;52;;;;50
Republica;107;118;120;122;121;120;115;120;121;;;;118
Santa Cecilia ;19;22;23;23;23;23;21;23;23;;;;22
Marechal Deodoro ;22;25;26;26;26;26;24;26;26;;;;25
Palmeiras-Barra Funda;126;141;144;143;136;132;123;129;135;;;;134
Total;939;1.049;1.086;1.080;1.071;1.060;988;1.065;1.086;;;;1.047
